,college_name,tcs_region
1447,C.V.Raman College of Engg. Bhubaneswar,Kolkata
1453,CALICUT UNIVERSITY,Trivandrum
1480,"DAV Institute of Engg. & Tech.Jalandhar, Punjab",Delhi
1485,Thakral College of Technology,Mumbai
1496,"Raisoni COE, Nagpur",Mumbai
1500,"Jaypee University of Information Technology, Solan",Delhi
1508,st vincent pallotti college of engineering and technology nagpur,Mumbai
1512,Shree L R Tiwari College of Engineering,Mumbai
1515,"SINHGAD INSTITUTE OF TECHNOLOGY AND SCIENCE, NARHE",Pune
1532,Indore Institute of Science and Technology II,Mumbai
1533,Acropolis Institute of Technology & Research,Mumbai
1539,b p poddar institute of management and technology,Kolkata
1558,"Adichunchunagiri Institute of Technology, Chikmagalur",Bangalore
1569,"R V College of Engineering, Bangalore",Bangalore
1571,Sri Bhagawan Mahaveer Jain College,Bangalore
1578,Durgapur Institute of Advanced Technology & Mgmt,Kolkata
1579,"Sri Krishna College of Engg & Tech, Coimbatore",Chennai
1581,IIMT COLLEGE OF ENGG,Delhi
1598,NIIT University,Delhi
1613,Krishna Engineering College,Delhi
1629,"College of Engg & Mgmt, Kolaghat - W.B.",Kolkata
1643,"RMK COLLEGE OF ENGINEERING AND TECHNOLOGY, TIRUVALLORE",Chennai
1645,ABES Institute of Technology,Delhi
1646,Gautam Buddha University,Delhi
1647,Sri Manakula Vinayagar Enginerring College,Chennai
1649,PSIT College Of Engineering,Lucknow
1661,"Prince Shri Venkateshwara Padmavathy Engineering College, Chennai",Chennai
1665,iimt college of engineering greater noida,Delhi
1671,"Shaheed Udham Singh College of Engineering & Technology, Tangori",Delhi
1676,PSIT College of Engineering Kanpur,Lucknow
1680,"National Inst of Sc & Tech, Berhampur",Kolkata
1701,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, DESIGN & MANUFACTURING - KANCHEEPURAM",Chennai
1705,"JIS College of Engineering, Nadia",Kolkata
1709,"Maharishi Markandeshwer Engg College, Kurukshetra University",Delhi
1718,Budge Budge Institute Of Technology,Kolkata
1731,ksr institute for engineering and technology,Chennai
1732,cmr college of engineering and technology,Hyderabad
1741,"Netaji Subhash Inst of Tech, Delhi Univ",Delhi
1761,aditya institute of technology and management tekkali srikakulam,Hyderabad
1765,LDRP,Ahmedabad
1767,IES College Of Technology,Mumbai
1785,"Rollwala Computer Centre, Ahmedabad",Ahmedabad
1799,"Shaheed Udham Singh Engineering College,Tangori",Delhi
1813,MLR Institute of Technology,Hyderabad
1843,KIET Kakinada,Hyderabad
1857,"WALCHAND INSTITUTE OF TECHNOLOGY, SOLAPUR",Pune
1858,MAR BASELIOS COLLEGE OF ENGINEERING AND TECHNOLOGY,Trivandrum
1867,"AISSMS INSTITUTE OF INFORMATION TECHNOLOGY, PUNE",Pune
1873,"Mody Inst. of Tech & Science, Lakshmangarh",Delhi
1880,GOVERNMENT COLLEGE OF ENGINEERING AND CERAMIC TECHNOLOGY,Kolkata
1881,"Padmabhushan Vasantdada Patil Prathisthan's College of Engineering, Mumbai",Mumbai
1907,IIT Bhubaneshwar,Kolkata
1913,northern india engineering college,Delhi
1933,CHAMELI DEVI SCHOOL OF ENGINEERING,Mumbai
1943,National Institute of Technology,Kolkata
1961,Indian Institute of Technology - Rajasthan,Delhi
1990,government college of engineering and ceramic technology,Kolkata
1997,"Sethu Institute of Technology, Kariapatti",Chennai
2010,"G Pulla Reddy Engg College, Kurnool",Hyderabad
2031,"Indian Instt of IT & Mgmt, Trivandrum",Trivandrum
